,lower_bound,upper_bound
rxn02201_c0,0,0
rxn00423_c0,0,0
rxn00646_c0,0,0
rxn01452_c0,0,0
rxn00642_c0,0,0
rxn00973_c0,-1000,1000
rxn02000_c0,0,1.306062208
rxn00322_c0,0,0
rxn13783_c0,0,52.22035165
rxn04070_c0,0,0
rxn00800_c0,0,0
rxn08333_c0,0,0.323397176
rxn00179_c0,0,0
rxn02945_c0,0,0
rxn00192_c0,0,0
rxn00545_c0,0,0
rxn02504_c0,0,0
rxn00262_c0,0,875
rxn08084_c0,0,0
rxn00898_c0,0,0
rxn05040_c0,0,0
rxn00001_c0,0,10.69865682
rxn08296_c0,0,0
rxn10254_c0,0,0
rxn03181_c0,0,1.306062208
rxn06493_c0,0,0
rxn10214_c0,0,2.224178019
rxn00208_c0,0,0
rxn05031_c0,0,0
rxn02376_c0,0,0
rxn00902_c0,0,0
rxn01268_c0,0,0.646794352
rxn00641_c0,0,0
rxn01974_c0,0,0
rxn04673_c0,0,0
rxn08971_c0,0,868.0792187
rxn00225_c0,0,2.612124415
rxn00148_c0,-25.60580258,944.4444444
rxn00100_c0,0,0.323397176
rxn00789_c0,0,0
rxn02374_c0,0,0
rxn03436_c0,0,0
rxn00837_c0,0,0
rxn08976_c0,0,125
rxn05319_c0,-1000,0
rxn02264_c0,0,0
rxn03903_c0,0,0
rxn00097_c0,-7.322649845,0
rxn02212_c0,0,0
rxn00695_c0,0,0
rxn00692_c0,0,0
rxn00802_c0,0,0
rxn01997_c0,0,1.306062208
rxn01362_c0,0,0
rxn00506_c0,0,0
rxn10060_c0,-1.306062208,0
rxn02159_c0,0,0
rxn08083_c0,0,0
rxn05466_c0,0,255.4268701
rxn00300_c0,0,0
rxn02380_c0,-1000,1000
rxn05957_c0,0,0
rxn10256_c0,0,0
rxn05555_c0,0,0.161698588
rxn03245_c0,0,0
rxn10213_c0,0,0
rxn08300_c0,0,0
rxn02404_c0,0,0
rxn08297_c0,0,0
rxn02911_c0,0,0
rxn01465_c0,0,0
rxn01643_c0,0,0
rxn04457_c0,0,0
rxn00248_c0,-944.4444444,-3.45E-12
rxn00369_c0,-1000,1000
rxn00566_c0,0,0
rxn01269_c0,0,0.646794352
rxn00830_c0,-2.782138673,0
rxn10113_c0,6.49E-13,866.7462052
rxn00020_c0,0,0
rxn01675_c0,0,1.306062208
rxn03240_c0,0,0
rxn09562_c0,0,0
rxn03435_c0,0,0
rxn03080_c0,0,0
rxn01044_c0,0,0
rxn00737_c0,0,0
rxn13784_c0,0,52.22035165
rxn02314_c0,0,0
rxn00251_c0,-944.4444444,32.13611362
rxn00139_c0,0,0
rxn00790_c0,0,0
rxn01489_c0,0,0
