,lower_bound,upper_bound
rxn00333_c0,0,0
rxn09110_c0,0,0
rxn00159_c0,0,1.663875291
rxn00303_c0,0,0
rxn01977_c0,-1000,1000
rxn00011_c0,-6.539070884,-3.40E-16
rxn02200_c0,0,0
rxn01069_c0,0,0
rxn05528_c0,0,1000
rxn00791_c0,0,0
rxn00702_c0,0,0
rxn00065_c0,0,0
rxn00358_c0,0,0
rxn08975_c0,0,1000
rxn03446_c0,0,0
rxn01302_c0,-1000,1000
rxn00101_c0,0,0.23769647
rxn00784_c0,0,0
rxn02285_c0,-1.919907778,2.00E-16
rxn00559_c0,0,0
rxn08848_c0,0,0
rxn08840_c0,0,0
rxn03907_c0,0,0
rxn01987_c0,0,0
rxn09310_c0,0,0
rxn08806_c0,0,0
rxn05195_c0,0,0.23769647
rxn10474_c0,-0.23769647,2.47E-17
rxn00260_c0,0,1.663875291
rxn00461_c0,0,1.919907778
rxn10473_c0,-0.23769647,2.47E-17
rxn00858_c0,0,0.23769647
rxn03136_c0,0,0
rxn00222_c0,0,0
rxn00621_c0,-22.74731723,7.72E-14
rxn05287_c0,0,1.206818367
rxn02937_c0,0,0
rxn08088_c0,0,0
rxn08810_c0,0,0
rxn08087_c0,0,0
rxn08818_c0,0,0
rxn08312_c0,0,0
rxn09978_c0,0,0
rxn08309_c0,0,0
rxn03841_c0,0,0
rxn04954_c0,-1000,1000
rxn04113_c0,0,0
rxn10218_c0,0,0
rxn06979_c0,0,0
rxn09272_c0,-1000,1000
rxn03892_c0,0,1.206818367
rxn01127_c0,0,0
rxn00615_c0,1.32E-14,0.922963968
rxn01626_c0,0,0
rxn11702_c0,0,0
rxn00785_c0,1.32E-14,8.602595078
rxn10806_c0,0,766.9245523
rxn00216_c0,1.19E-13,10.44852301
rxn08808_c0,0,0
rxn00558_c0,-1000,1000
rxn05616_c0,-0.23769647,1000
rxn08805_c0,0,0
rxn01790_c0,0,0
rxn10217_c0,0,0
rxn01406_c0,0,0
rxn10223_c0,0,0
rxn10260_c0,0,2.452151581
rxn00134_c0,0,8.457504929
rxn09109_c0,0,0
rxn00141_c0,0,8.457504929
rxn01200_c0,1.01E-14,0.922963968
rxn00186_c0,0,0
rxn00288_c0,0,0
rxn02185_c0,0,0
rxn00763_c0,0,0
rxn08811_c0,0,0
rxn02473_c0,0,0
rxn01434_c0,0,0
rxn00912_c0,0,0
rxn08819_c0,0,0
rxn03512_c0,0,0
rxn09979_c0,0,0
rxn10212_c0,0,0
rxn08294_c0,0,0
rxn10259_c0,0,2.452151581
rxn03068_c0,-1000,1000
rxn00338_c0,0,0
rxn05468_c0,-1.81E-14,379.5675936
rxn01466_c0,-4.406664663,0
rxn02008_c0,0,1.919907778
rxn05740_c0,0,0
rxn03904_c0,0,1.919907778
rxn01225_c0,0,0
rxn08842_c0,0,0
rxn03901_c0,0,1.919907778
rxn02832_c0,0,0.950785881
rxn10052_c0,0,0.23769647
rxn04133_c0,0,0
rxn00193_c0,0,1.919907778
rxn00929_c0,-1000,1000
rxn08800_c0,0,0
rxn08335_c0,0,0
rxn03004_c0,0,0
rxn00138_c0,-0.23769647,-1.20E-14
rxn06729_c0,-7.14E-28,3.839815555
rxn00347_c0,-17.08040522,-1.02E-12
rxn01858_c0,0,0
rxn02297_c0,0,0
rxn01485_c0,0,0
rxn02190_c0,0,0
rxn09296_c0,0,0
rxn00239_c0,-4.42E-29,0.23769647
rxn02465_c0,0,0
rxn02507_c0,0,0
rxn10220_c0,-6.08E-28,3.269535442
rxn10261_c0,0,0
rxn08816_c0,0,0
rxn06591_c0,0,0
rxn01137_c0,0,0
rxn01343_c0,0,0
rxn10255_c0,0,0
rxn08797_c0,0,0
rxn09108_c0,0,0
rxn02186_c0,-1000,1000
rxn08307_c0,0,0
rxn00209_c0,0,0
rxn01274_c0,0,0
rxn01019_c0,0,0
rxn08849_c0,0,0
rxn00525_c0,0,0
rxn10211_c0,0,0
rxn08295_c0,0,0
rxn09112_c0,0,0
rxn03194_c0,-1.22E-27,6.539070884
rxn05467_c0,-10.249588,-1.89E-12
rxn00493_c0,-0.71308941,-3.66E-14
rxn08298_c0,0,0
rxn01834_c0,0,0
rxn10577_c0,-252.1904784,-5.90E-13
rxn05255_c0,0,0.71308941
rxn05540_c0,7.18E-12,15.36168582
rxn05206_c0,0,0.23769647
rxn00830_c0,-4.406664663,1.83E-15
rxn12860_c0,6.61E-12,2.806741515
rxn05372_c0,1.54E-11,6.539070884
rxn09696_c0,2.05E-11,8.695201399
rxn05663_c0,8.54E-12,3.623397279
rxn08710_c0,4.52E-12,1.919907778
rxn06848_c0,-1.919907778,7.98E-16
rxn05375_c0,0,6.539070884
rxn05385_c0,0,6.539070884
rxn00620_c0,-22.74731723,-1.77E-13
rxn05938_c0,1.01E-09,28.83617898
rxn10227_c0,0,0.81738386
rxn04139_c0,0,0.23769647
rxn05395_c0,0,6.539070884
rxn03919_c0,0,7.67963111
rxn03181_c0,0,1.919907778
rxn10945_c0,-14.15175918,0
rxn02303_c0,-0.23769647,9.89E-17
rxn09677_c0,-3.041494153,1.26E-15
rxn12664_c0,0,1.426178821
rxn02304_c0,-0.118848235,4.94E-17
rxn12224_c0,0,0.23769647
rxn06023_c0,0,0.23769647
rxn05383_c0,0,6.539070884
rxn13918_c0,-0.23769647,9.89E-17
rxn12647_c0,0,1.144543128
rxn05618_c0,0,0.23769647
rxn09632_c0,-0.23769647,9.89E-17
rxn03182_c0,0,1.919907778
rxn00804_c0,0,6.539070884
rxn09456_c0,-10.76856021,4.48E-15
rxn04147_c0,-2.806741515,1.17E-15
rxn00966_c0,-0.23769647,9.89E-17
rxn03395_c0,0,0.23769647
rxn02831_c0,-0.950785881,3.95E-16
rxn14120_c0,-0.71308941,2.97E-16
rxn12225_c0,-1.82E-17,0.118848235
rxn13150_c0,-0.23769647,9.89E-17
rxn05360_c0,-1.00E-15,6.539070884
rxn05386_c0,-1.00E-15,6.539070884
rxn05436_c0,-1.00E-15,6.539070884
rxn08954_c0,-2.94E-16,1.919907778
rxn02288_c0,-0.23769647,9.89E-17
rxn10337_c0,-1.25E-16,0.81738386
rxn05384_c0,-1.00E-15,6.539070884
rxn00413_c0,-2.980187101,1.87E-13
rxn01322_c0,-5.89E-16,3.839815555
rxn08126_c0,-0.31998463,1.33E-16
rxn03397_c0,-3.64E-17,0.23769647
rxn05394_c0,-1.00E-15,6.539070884
rxn05531_c0,-8.35E-15,1.741420502
rxn00650_c0,-8.96E-16,5.845291836
rxn02056_c0,-0.23769647,9.89E-17
rxn05397_c0,-1.00E-15,6.539070884
rxn00350_c0,-8.96E-16,5.845291836
rxn05371_c0,-1.00E-15,6.539070884
rxn08766_c0,-10.76856021,4.48E-15
rxn05369_c0,-1.00E-15,6.539070884
rxn06865_c0,-1.919907778,7.98E-16
rxn12666_c0,-3.64E-17,0.23769647
rxn05887_c0,-250,-1.89E-14
rxn08711_c0,1.06E-12,1.919907778
rxn05267_c0,-1.426178821,5.93E-16
rxn05029_c0,-5.06E-17,0.23769647
rxn05398_c0,-1.39E-15,6.539070884
rxn03917_c0,-1.64E-15,7.67963111
rxn05370_c0,-1.39E-15,6.539070884
rxn02269_c0,-1.39E-15,6.539070884
rxn05487_c0,-8.18E-16,3.839815555
rxn05454_c0,-1.39E-15,6.539070884
