,lower_bound,upper_bound
rxn01466_c0,-0.894025309,1.17E-14
rxn01304_c0,0,0
rxn00974_c0,-1000,1000
rxn05740_c0,0,0
rxn09203_c0,0,0
rxn03904_c0,6.47E-15,0.389511405
rxn01258_c0,-0.192895695,0
rxn00778_c0,0,500
rxn00808_c0,0,0
rxn02832_c0,0,0.192895695
rxn10052_c0,-502.3947531,1.70E-11
rxn04133_c0,0,0
rxn00193_c0,7.96E-15,0.389511405
rxn00653_c0,0,0
rxn03164_c0,7.96E-15,0.389511405
rxn00929_c0,4.55E-13,51.31688594
rxn02166_c0,0,0
rxn03004_c0,0,0
rxn10232_c0,3.16E-15,0.165831057
rxn02167_c0,0,0
rxn01858_c0,0,0
rxn10770_c0,0,0
rxn02297_c0,0,0
rxn01485_c0,0,0
rxn09104_c0,0,0
rxn03031_c0,0,0
rxn09207_c0,0,0
rxn09296_c0,0,0
rxn00239_c0,9.20E-16,0.048223924
rxn00441_c0,0,0
rxn02465_c0,0,0
rxn03130_c0,7.43E-15,0.389511405
rxn01791_c0,0,0
rxn09107_c0,0,0
rxn01329_c0,0,0
rxn00950_c0,0,51.00757892
rxn10268_c0,0,0
rxn05937_c0,-9.59E-13,61.02909036
rxn10220_c0,1.26E-14,0.663324228
rxn10261_c0,0,0
rxn06591_c0,0,0
rxn01137_c0,0,0
rxn10255_c0,0,0
rxn00478_c0,0,0
rxn09108_c0,0,0
rxn02186_c0,-1000,1000
rxn08307_c0,0,0
rxn00209_c0,0,0
rxn01274_c0,0,0
rxn00715_c0,0,0
rxn01019_c0,0,0
rxn09208_c0,0,0
rxn10149_c0,0,0
rxn10211_c0,0,0
rxn08295_c0,0,0
rxn09112_c0,0,0
rxn03194_c0,0,0
rxn01286_c0,0,0
rxn05467_c0,-39.54311345,5.67E-12
rxn01520_c0,0,0
rxn00330_c0,-0.144671771,7.78E-15
rxn08298_c0,-2.89E-15,0
rxn01834_c0,0,0
rxn05397_c0,-7.30E-17,1.326648455
rxn10887_c0,-1.55804562,2.92E-14
rxn05437_c0,1.39E-16,1.326648455
rxn10145_c0,5.05E-16,4.834881551
rxn05535_c0,-1.01E-13,0.650110478
rxn10060_c0,-0.232049607,3.65E-14
rxn05175_c0,-6.46E-19,0.048223924
rxn05390_c0,-1.78E-17,1.326648455
rxn03918_c0,-2.09E-17,1.55804562
rxn05216_c0,-7.81E-17,5.834815287
rxn05520_c0,-6.46E-19,0.048223924
rxn05362_c0,-1.78E-17,1.326648455
rxn05394_c0,-1.78E-17,1.326648455
rxn09688_c0,0,0.264839664
rxn08711_c0,-5.22E-18,0.389511405
rxn05560_c0,-1.19E-14,1.278146853
rxn05443_c0,-1.78E-17,1.326648455
rxn10945_c0,-2.726440928,3.03E-14
rxn02011_c0,-1.50E-16,0.389511405
rxn05395_c0,-5.11E-16,1.326648455
rxn01513_c0,-0.157461798,1.80E-15
rxn05369_c0,-2.90E-16,1.326648455
rxn05028_c0,-8.52E-17,0.389511405
rxn05373_c0,-2.90E-16,1.326648455
rxn09677_c0,-0.61705915,6.92E-15
rxn10338_c0,-3.72E-17,0.165831057
rxn05440_c0,-2.98E-16,1.326648455
rxn05365_c0,-2.98E-16,1.326648455
rxn09657_c0,-1.08E-17,0.048223924
rxn03408_c0,-8.75E-17,0.389511405
rxn13160_c0,-0.694845115,3.46E-14
rxn10206_c0,-2.07E-16,0.663324228
rxn05687_c0,-1.50E-17,0.048223924
rxn02287_c0,-1.50E-17,0.048223924
rxn10336_c0,-5.17E-17,0.165831057
rxn05384_c0,-4.14E-16,1.326648455
rxn08435_c0,-1.25271191,-1.25E-14
rxn10577_c0,-8.384943084,-8.20E-14
rxn05389_c0,-6.37E-16,1.326648455
rxn00465_c0,-6.94E-17,0.144671771
rxn02005_c0,-9.35E-16,1.947557025
rxn05405_c0,-6.37E-16,1.326648455
rxn06874_c0,-8.384943084,-8.20E-14
rxn05255_c0,4.42E-16,0.144671771
rxn04675_c0,-1000,2.23E-15
rxn09686_c0,3.39E-13,0.391613493
rxn13360_c0,-0.280273531,3.26E-15
rxn05301_c0,-1.73E-12,1.879399859
rxn09225_c0,-3.59E-13,0.389511405
rxn00190_c0,-0.183825684,2.14E-15
rxn05508_c0,-2.87E-12,3.127709728
rxn08618_c0,-3.57E-13,0.389511405
rxn05404_c0,-1.22E-12,1.326648455
rxn00605_c0,-1.947557025,2.28E-14
rxn05407_c0,1.25E-15,1.326648455
rxn10163_c0,3.66E-16,0.389511405
rxn08333_c0,9.07E-17,0.096447847
rxn10337_c0,1.56E-16,0.165831057
rxn04413_c0,4.54E-17,0.048223924
rxn05144_c0,4.54E-17,0.048223924
rxn08620_c0,3.66E-16,0.389511405
rxn02304_c0,-0.024111962,-7.53E-17
rxn03916_c0,1.96E-15,1.55804562
rxn05306_c0,2.85E-15,2.261792255
rxn12224_c0,6.07E-17,0.048223924
rxn03901_c0,4.91E-16,0.389511405
rxn05367_c0,1.67E-15,1.326648455
rxn14012_c0,4.91E-16,0.389511405
rxn03511_c0,1.96E-15,1.55804562
rxn00086_c0,-15.87248708,-1.72E-15
rxn05406_c0,-1.27E-14,1.326648455
rxn05375_c0,-1.27E-14,1.326648455
rxn08583_c0,-3.73E-15,0.389511405
rxn06023_c0,-4.62E-16,0.048223924
rxn09471_c0,-1.25271191,1.23E-14
rxn03397_c0,-5.05E-16,0.048223924
rxn05360_c0,-1.39E-14,1.326648455
rxn05454_c0,-1.39E-14,1.326648455
rxn00126_c0,-1.340250258,9.53E-14
rxn05368_c0,-1.31E-14,1.326648455
rxn03395_c0,-4.77E-16,0.048223924
rxn04147_c0,-0.569432472,8.25E-16
rxn05244_c0,-5.33E-14,5.092383227
rxn08712_c0,-4.08E-15,0.389511405
rxn00224_c0,-0.048223924,7.39E-17
rxn05030_c0,1.48E-15,0.389511405
rxn02831_c0,-0.192895695,2.63E-16
rxn05388_c0,5.81E-15,1.326648455
rxn05398_c0,5.81E-15,1.326648455
rxn05400_c0,5.81E-15,1.326648455
rxn03393_c0,2.11E-16,0.048223924
rxn02898_c0,-0.192895695,2.79E-16
rxn02003_c0,-0.389511405,5.64E-16
rxn09632_c0,-0.048223924,6.98E-17
rxn05393_c0,5.05E-15,1.326648455
rxn08822_c0,-0.663324228,9.59E-19
rxn05392_c0,4.83E-15,1.326648455
rxn05651_c0,1.76E-16,0.048223924
rxn05359_c0,4.83E-15,1.326648455
rxn13661_c0,-0.289343542,1.88E-17
rxn03439_c0,1.42E-15,0.389511405
rxn06848_c0,-0.389511405,2.02E-17
rxn03919_c0,5.80E-15,1.55804562
rxn05645_c0,3.59E-16,0.096447847
rxn00467_c0,5.39E-16,0.144671771
rxn02269_c0,6.78E-15,1.326648455
rxn05399_c0,6.78E-15,1.326648455
rxn05303_c0,2.04E-14,3.986692146
rxn08708_c0,1.99E-15,0.389511405
rxn12664_c0,1.48E-15,0.289343542
rxn12663_c0,-2.108806106,0
rxn00650_c0,-1.23E-14,1.185894376
rxn05059_c0,-0.264839664,-9.96E-18
rxn05383_c0,-1.36E-14,1.326648455
rxn05525_c0,-5.68E-14,2.831798177
rxn02288_c0,-0.048223924,-1.56E-17
rxn12647_c0,-2.41E-15,0.234151695
rxn12649_c0,-1.49E-15,0.144671771
rxn05387_c0,-1.37E-14,1.326648455
rxn05523_c0,-4.97E-16,0.048223924
rxn08434_c0,-0.389511405,5.62E-17
rxn01799_c0,-0.107377866,-2.58E-16
rxn10954_c0,-2.028139396,-3.63E-16
rxn10199_c0,-4.13E-15,0.389511405
rxn05299_c0,-1.31E-14,1.23443976
rxn05401_c0,-1.41E-14,1.326648455
rxn05217_c0,0,30.40275554
rxn02056_c0,-0.048223924,-1.91E-17
rxn10094_c0,-4.93E-16,0.048223924
rxn05380_c0,-1.35E-14,1.326648455
rxn10161_c0,-3.88E-14,3.354787851
rxn05376_c0,-1.35E-14,1.326648455
rxn08709_c0,-3.98E-15,0.389511405
rxn09665_c0,-2.07E-13,0.24000885
rxn00392_c0,-4.93E-16,0.048223924
rxn02303_c0,-0.048223924,-5.41E-18
rxn05663_c0,-7.36E-15,0.735115812
rxn05361_c0,-1.33E-14,1.326648455
rxn05377_c0,-1.33E-14,1.326648455
rxn05435_c0,-1.33E-14,1.326648455
rxn10205_c0,-6.64E-15,0.663324228
rxn05358_c0,-1.33E-14,1.326648455
rxn04464_c0,-0.157461798,2.10E-15
rxn05029_c0,-4.88E-16,0.048223924
rxn08619_c0,-3.95E-15,0.389511405
rxn05363_c0,-1.34E-14,1.326648455
rxn09696_c0,2.46E-13,1.388474182
rxn00830_c0,-0.894025309,-1.47E-16
rxn02285_c0,-0.389511405,-6.42E-17
rxn03394_c0,1.16E-16,0.048223924
rxn05382_c0,3.18E-15,1.326648455
rxn05374_c0,3.18E-15,1.326648455
rxn11946_c0,1.16E-16,0.048223924
rxn05267_c0,-0.289343542,-8.01E-17
rxn03538_c0,1.23E-16,0.048223924
rxn03150_c0,1.23E-16,0.048223924
rxn06723_c0,-0.77902281,-1.08E-16
rxn05385_c0,3.20E-15,1.326648455
rxn02290_c0,-0.569432472,3.36E-17
rxn13399_c0,-0.569432472,3.36E-17
rxn10832_c0,2.58E-16,0.096447847
rxn01353_c0,-502.1781374,0
rxn08710_c0,1.09E-15,0.389511405
rxn06729_c0,2.18E-15,0.77902281
rxn02155_c0,-0.183825684,-7.49E-14
rxn05499_c0,3.20E-15,1.168534215
rxn05396_c0,3.63E-15,1.326648455
rxn00121_c0,-0.048223924,-7.32E-17
rxn09128_c0,-0.663324228,-1.01E-15
rxn12822_c0,-3.025227154,-4.59E-15
rxn05148_c0,2.48E-16,0.096447847
rxn02774_c0,1.24E-16,0.048223924
rxn05366_c0,3.41E-15,1.326648455
rxn12635_c0,2.72E-14,0.650110478
rxn05402_c0,3.41E-15,1.326648455
rxn00350_c0,3.05E-15,1.185894376
rxn05452_c0,3.41E-15,1.326648455
rxn00966_c0,-0.048223924,-7.32E-17
rxn05371_c0,-1.27E-14,1.326648455
rxn05364_c0,-1.27E-14,1.326648455
rxn02286_c0,-3.72E-15,0.389511405
rxn00056_c0,-0.012055981,-1.73E-17
rxn05379_c0,-9.85E-15,1.326648455
rxn08713_c0,-2.89E-15,0.389511405
rxn07200_c0,-8.384943084,-3.47E-14
rxn01000_c0,-1.23E-15,0.144671771
rxn00367_c0,-5.103904398,-8.17E-15
rxn01207_c0,-1.13E-14,1.326648455
rxn00777_c0,-0.341287481,-9.35E-16
rxn00493_c0,-0.144671771,-2.32E-16
rxn03182_c0,-3.31E-15,0.389511405
rxn12860_c0,-4.83E-15,0.569432472
rxn09456_c0,-2.028139396,-4.63E-15
rxn01492_c0,-0.428665318,-1.08E-15
rxn05243_c0,-6.85E-14,7.172899676
rxn08954_c0,-3.72E-15,0.389511405
rxn05307_c0,-1.08E-14,54.19066131
rxn00910_c0,-0.048223924,-8.98E-17
rxn03893_c0,-2.60E-16,0.048223924
rxn01151_c0,-1.168534215,3.77E-16
rxn05372_c0,-7.15E-15,1.326648455
rxn03146_c0,-4.20E-15,0.77902281
rxn05300_c0,-6.33E-14,9.501086789
rxn00851_c0,-2.10E-15,0.389511405
rxn08766_c0,-2.028139396,-2.12E-15
rxn09451_c0,-1.25271191,1.96E-14
rxn00688_c0,-0.048223924,7.29E-18
rxn10100_c0,2.59E-15,0.30533371
rxn03537_c0,-2.53E-16,0.048223924
rxn05381_c0,-6.95E-15,1.326648455
rxn02008_c0,-2.04E-15,0.389511405
rxn05386_c0,-6.95E-15,1.326648455
rxn05213_c0,-2.53E-16,0.048223924
rxn05310_c0,-0.183825684,-2.34E-15
rxn03917_c0,-7.93E-15,1.55804562
rxn05596_c0,-0.048223924,1.43E-17
rxn13846_c0,-1.25271191,1.97E-14
rxn06556_c0,-0.694845115,-1.91E-14
rxn12630_c0,-8.16E-15,1.55804562
bio1_biomass,-8.16E-14,15.57385431
EX_cpd00266_e0,0,0
EX_cpd00129_e0,-2.726440928,1.35E-15
EX_cpd00066_e0,-2.261792255,1.12E-15
EX_cpd01080_e0,-3.354787851,-7.16E-16
EX_cpd00045_e0,-0.24000885,2.47E-13
EX_cpd00218_e0,-5.09E-14,0.183825684
EX_cpd00122_e0,-1.55804562,9.02E-16
EX_cpd00099_e0,-0.048223924,2.79E-17
EX_cpd00053_e0,-5.834815287,3.38E-15
EX_cpd00082_e0,-1.278146853,1.95E-15
EX_cpd00115_e0,-0.234151695,1.36E-16
EX_cpd00041_e0,-30.40275554,0
EX_cpd00030_e0,-0.048223924,2.79E-17
EX_cpd00107_e0,-7.172899676,4.15E-15
EX_cpd00794_e0,-1.947557025,1.13E-15
EX_cpd00277_e0,-0.264839664,0
EX_cpd00010_e0,-0.096447847,5.59E-17
EX_cpd01188_e0,-0.569432472,3.30E-16
EX_cpd11606_e0,-0.289343542,1.68E-16
EX_cpd00357_e0,-0.391613493,-2.19E-15
EX_cpd00159_e0,0,0
EX_cpd00006_e0,-0.280273531,2.57E-15
EX_cpd00065_e0,-0.735115812,4.26E-16
EX_cpd00063_e0,-0.048223924,2.79E-17
EX_cpd00111_e0,-0.61705915,3.57E-16
EX_cpd00051_e0,-3.986692146,2.31E-15
EX_cpd00069_e0,-1.879399859,1.09E-15
EX_cpd00264_e0,-0.048223924,2.79E-17
EX_cpd00254_e0,-0.048223924,2.79E-17
EX_cpd00185_e0,-1.168534215,6.77E-16
EX_cpd00971_e0,0,0
EX_cpd01741_e0,-0.694845115,-1.85E-14
EX_cpd00058_e0,-0.048223924,0
EX_cpd00393_e0,-0.144671771,8.38E-17
EX_cpd00516_e0,-4.834881551,2.80E-15
EX_cpd00038_e0,-2.108806106,5.59E-17
EX_cpd00118_e0,-0.048223924,2.79E-17
EX_cpd00117_e0,-1000,1000
EX_cpd00137_e0,-0.144671771,7.14E-17
EX_cpd00305_e0,-0.048223924,2.38E-17
EX_cpd00011_e0,-7.51E-14,39.54311345
EX_cpd00035_e0,-1000,1000
EX_cpd00007_e0,-14.94703187,0.358085783
EX_cpd00205_e0,-0.048223924,2.09E-17
EX_cpd00119_e0,-1.23443976,5.36E-16
EX_cpd00017_e0,-1.388474182,-5.07E-15
EX_cpd00132_e0,-3.127709728,1.36E-15
EX_cpd00001_e0,0,133.5196691
EX_cpd00028_e0,-0.096447847,1.01E-15
EX_cpd00054_e0,-54.19066131,3.29E-14
EX_cpd03847_e0,-0.389511405,4.03E-15
EX_cpd00067_e0,-76.82741246,9.31E-13
EX_cpd00220_e0,-0.096447847,9.73E-16
EX_cpd00034_e0,-0.048223924,4.86E-16
EX_cpd10516_e0,-0.096447847,9.73E-16
EX_cpd00870_e0,0,0
EX_cpd11591_e0,-0.650110478,1.79E-13
EX_cpd00046_e0,-2.831798177,0
EX_cpd00013_e0,-3.305628065,4.23688239
EX_cpd00149_e0,-0.048223924,4.95E-16
EX_cpd00161_e0,-9.501086789,-8.42E-14
EX_cpd00528_e0,-9.60E-14,8.384943084
EX_cpd00048_e0,-0.048223924,4.91E-16
EX_cpd00322_e0,-5.092383227,5.19E-14
DM_cpd11416_c0,-2.04E-13,15.57385431
DM_cpd15302_c0,0,0
